2022-05-10 22:05:40,828 INFO  Logger.cs: 70 - 
2022-05-11 00:10:57,074 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [RefAxis] from puntero-1
2022-05-11 00:10:57,084 INFO  ExportHelperExtension.cs: 1136 - Found 27 in puntero-1
2022-05-11 00:10:57,085 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [RefAxis] in puntero-1
2022-05-11 00:10:57,398 INFO  SwAddin.cs: 339 - Loading config tree
2022-05-11 00:10:57,400 INFO  ExportPropertyManagerExtension.cs: 520 - Starting new configuration
2022-05-11 00:10:57,407 INFO  SwAddin.cs: 344 - Showing property manager
2022-05-11 00:11:01,278 INFO  ExportPropertyManager.cs: 1136 - OnNumberBoxTrackingCompleted called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2022-05-11 00:11:02,086 INFO  ExportPropertyManager.cs: 1136 - OnNumberBoxTrackingCompleted called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2022-05-11 00:11:23,779 INFO  ExportPropertyManager.cs: 422 - Configuration saved
2022-05-11 00:11:23,889 INFO  ExportPropertyManager.cs: 1142 - AfterClose called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2022-05-11 00:15:42,838 INFO  SwAddin.cs: 294 - Assembly export called for file servo
2022-05-11 00:15:42,839 INFO  SwAddin.cs: 299 - Save is required
2022-05-11 00:15:42,839 INFO  SwAddin.cs: 313 - Saving assembly
2022-05-11 00:15:43,146 INFO  SwAddin.cs: 316 - Opening property manager
2022-05-11 00:15:43,147 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from servo
2022-05-11 00:15:43,149 INFO  ExportHelperExtension.cs: 1136 - Found 26 in servo
2022-05-11 00:15:43,150 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in servo
2022-05-11 00:15:43,151 INFO  ExportHelperExtension.cs: 1148 - Proceeding through assembly components
2022-05-11 00:15:43,158 INFO  ExportHelperExtension.cs: 1160 - 2 components to check
2022-05-11 00:15:43,159 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from base-1
2022-05-11 00:15:43,266 INFO  ExportHelperExtension.cs: 1136 - Found 35 in base-1
2022-05-11 00:15:43,267 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in base-1
2022-05-11 00:15:43,268 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from puntero-1
2022-05-11 00:15:43,269 INFO  ExportHelperExtension.cs: 1136 - Found 27 in puntero-1
2022-05-11 00:15:43,272 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in puntero-1
2022-05-11 00:15:43,273 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [RefAxis] from servo
2022-05-11 00:15:43,275 INFO  ExportHelperExtension.cs: 1136 - Found 26 in servo
2022-05-11 00:15:43,276 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [RefAxis] in servo
2022-05-11 00:15:43,277 INFO  ExportHelperExtension.cs: 1148 - Proceeding through assembly components
2022-05-11 00:15:43,277 INFO  ExportHelperExtension.cs: 1160 - 2 components to check
2022-05-11 00:15:43,278 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [RefAxis] from base-1
2022-05-11 00:15:43,279 INFO  ExportHelperExtension.cs: 1136 - Found 35 in base-1
2022-05-11 00:15:43,280 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [RefAxis] in base-1
2022-05-11 00:15:43,281 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [RefAxis] from puntero-1
2022-05-11 00:15:43,282 INFO  ExportHelperExtension.cs: 1136 - Found 27 in puntero-1
2022-05-11 00:15:43,283 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [RefAxis] in puntero-1
2022-05-11 00:15:43,542 INFO  SwAddin.cs: 339 - Loading config tree
2022-05-11 00:15:43,543 INFO  ExportPropertyManagerExtension.cs: 520 - Starting new configuration
2022-05-11 00:15:43,546 INFO  SwAddin.cs: 344 - Showing property manager
2022-05-11 00:15:47,684 INFO  ExportPropertyManager.cs: 1136 - OnNumberBoxTrackingCompleted called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2022-05-11 00:16:43,338 INFO  ExportPropertyManager.cs: 422 - Configuration saved
2022-05-11 00:17:01,947 INFO  ExportHelperExtension.cs: 347 - Creating joint puntero
2022-05-11 00:17:02,052 INFO  ExportHelperExtension.cs: 1397 - Fixing components for base_link
2022-05-11 00:17:02,068 INFO  ExportHelperExtension.cs: 1402 - Fixing 24
2022-05-11 00:17:02,075 INFO  ExportHelperExtension.cs: 1409 - Component 24 is already fixed
2022-05-11 00:17:03,952 INFO  : 0 - R1: 1, System.__ComObject, 1, System.Double[]
2022-05-11 00:17:03,962 INFO  ExportHelperExtension.cs: 841 - R2: 0, 0
2022-05-11 00:17:03,963 INFO  ExportHelperExtension.cs: 849 - L1: 0
2022-05-11 00:17:03,964 INFO  ExportHelperExtension.cs: 857 - L2: 0
2022-05-11 00:17:09,186 WARN  ExportHelperExtension.cs: 351 - Creating joint from parent base_link to child puntero failed
2022-05-11 00:17:09,831 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from servo
2022-05-11 00:17:09,849 INFO  ExportHelperExtension.cs: 1136 - Found 31 in servo
2022-05-11 00:17:09,850 INFO  ExportHelperExtension.cs: 1145 - Found 2 features of type [CoordSys] in servo
2022-05-11 00:17:09,852 INFO  ExportHelperExtension.cs: 1148 - Proceeding through assembly components
2022-05-11 00:17:09,853 INFO  ExportHelperExtension.cs: 1160 - 2 components to check
2022-05-11 00:17:09,854 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from base-1
2022-05-11 00:17:09,855 INFO  ExportHelperExtension.cs: 1136 - Found 35 in base-1
2022-05-11 00:17:09,858 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in base-1
2022-05-11 00:17:09,859 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from puntero-1
2022-05-11 00:17:09,862 INFO  ExportHelperExtension.cs: 1136 - Found 27 in puntero-1
2022-05-11 00:17:09,864 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in puntero-1
2022-05-11 00:17:09,865 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [RefAxis] from servo
2022-05-11 00:17:09,866 INFO  ExportHelperExtension.cs: 1136 - Found 31 in servo
2022-05-11 00:17:09,869 INFO  ExportHelperExtension.cs: 1145 - Found 1 features of type [RefAxis] in servo
2022-05-11 00:17:09,870 INFO  ExportHelperExtension.cs: 1148 - Proceeding through assembly components
2022-05-11 00:17:09,871 INFO  ExportHelperExtension.cs: 1160 - 2 components to check
2022-05-11 00:17:09,882 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [RefAxis] from base-1
2022-05-11 00:17:10,002 INFO  ExportHelperExtension.cs: 1136 - Found 35 in base-1
2022-05-11 00:17:10,005 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [RefAxis] in base-1
2022-05-11 00:17:10,006 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [RefAxis] from puntero-1
2022-05-11 00:17:10,008 INFO  ExportHelperExtension.cs: 1136 - Found 27 in puntero-1
2022-05-11 00:17:10,019 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [RefAxis] in puntero-1
2022-05-11 00:17:10,247 INFO  ExportPropertyManager.cs: 1142 - AfterClose called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2022-05-11 00:21:37,248 INFO  ConfigurationSerialization.cs: 276 - URDF Configuration found
